epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.7985,0.95657,1.69001,1.26899,0.36607,0.51927,0.32414,0.21893,1.29124,7.1688,1.73942,0.000413889,0.000413889,0.000413889
2,104.622,1.0644,1.45004,1.3446,0.46159,0.45669,0.3605,0.24975,1.23396,2.54696,1.60007,0.000822333,0.000822333,0.000822333
3,156.181,1.10724,1.45422,1.35625,0.54132,0.56215,0.50448,0.32892,1.20417,2.39205,1.51255,0.00122253,0.00122253,0.00122253
4,207.727,1.08445,1.36308,1.3435,0.54239,0.41682,0.4334,0.26466,1.51448,1.96422,1.84994,0.00121287,0.00121287,0.00121287
5,259.17,1.05854,1.28632,1.33634,0.69033,0.6434,0.68891,0.48288,1.0619,1.22438,1.37186,0.0012005,0.0012005,0.0012005
6,310.769,1.03287,1.2237,1.31804,0.62349,0.57269,0.60551,0.41238,1.11062,1.58505,1.40711,0.00118812,0.00118812,0.00118812
7,362.254,0.98111,1.1741,1.28054,0.72934,0.53484,0.61329,0.44279,1.03907,1.31577,1.37336,0.00117575,0.00117575,0.00117575
8,413.73,0.96468,1.1232,1.27543,0.79049,0.66277,0.75015,0.56447,0.9237,0.98226,1.26124,0.00116337,0.00116337,0.00116337
9,465.332,0.92576,1.07528,1.24951,0.76293,0.6756,0.74378,0.5595,0.90483,1.00302,1.24744,0.001151,0.001151,0.001151
10,516.898,0.92507,1.02737,1.24486,0.80936,0.63444,0.73555,0.56181,0.90003,0.95178,1.25478,0.00113863,0.00113863,0.00113863
11,568.413,0.88884,0.96779,1.22287,0.75216,0.67099,0.73711,0.55366,0.93678,0.9809,1.26407,0.00112625,0.00112625,0.00112625
12,620.006,0.879,0.95095,1.20625,0.76609,0.6668,0.74814,0.57595,0.84334,1.00765,1.20311,0.00111388,0.00111388,0.00111388
13,671.642,0.88511,0.93639,1.20878,0.8082,0.71378,0.79663,0.60822,0.86786,0.86074,1.2236,0.0011015,0.0011015,0.0011015
14,723.258,0.84981,0.89105,1.19397,0.76948,0.71662,0.78489,0.60601,0.841,0.85743,1.18392,0.00108913,0.00108913,0.00108913
15,774.734,0.8349,0.87301,1.18033,0.80169,0.68287,0.78234,0.61028,0.85629,0.83624,1.20946,0.00107675,0.00107675,0.00107675
16,826.326,0.83406,0.86663,1.18146,0.78159,0.68441,0.76356,0.5928,0.83356,0.9365,1.18549,0.00106437,0.00106437,0.00106437
17,877.789,0.80767,0.82373,1.17237,0.79673,0.72338,0.81653,0.64115,0.80108,0.79329,1.15643,0.001052,0.001052,0.001052
18,929.355,0.79862,0.81593,1.16555,0.8079,0.73193,0.81155,0.62808,0.83102,0.8028,1.18577,0.00103962,0.00103962,0.00103962
19,980.819,0.7906,0.78145,1.15214,0.82158,0.72957,0.81075,0.63813,0.80371,0.74558,1.17115,0.00102725,0.00102725,0.00102725
20,1032.29,0.78113,0.77698,1.14465,0.8307,0.73184,0.82273,0.64571,0.79434,0.76736,1.16254,0.00101488,0.00101488,0.00101488
21,1083.8,0.77962,0.7652,1.14329,0.81789,0.73941,0.81672,0.64083,0.78035,0.75692,1.13978,0.0010025,0.0010025,0.0010025
22,1135.24,0.77314,0.74402,1.14665,0.82032,0.76,0.83908,0.66295,0.77302,0.70551,1.13397,0.000990125,0.000990125,0.000990125
23,1186.79,0.75921,0.71486,1.1222,0.82122,0.742,0.82605,0.65463,0.77662,0.73845,1.14655,0.00097775,0.00097775,0.00097775
24,1238.32,0.73821,0.70332,1.11889,0.86172,0.70746,0.8238,0.65412,0.76666,0.7091,1.13497,0.000965375,0.000965375,0.000965375
25,1289.87,0.73805,0.68896,1.11567,0.82507,0.72681,0.81103,0.65252,0.76083,0.71251,1.1387,0.000953,0.000953,0.000953
26,1341.36,0.74165,0.68666,1.12651,0.8244,0.70975,0.80095,0.63808,0.79301,0.74722,1.15383,0.000940625,0.000940625,0.000940625
27,1392.81,0.71572,0.68487,1.1122,0.84245,0.77553,0.84211,0.6817,0.74161,0.6579,1.10746,0.00092825,0.00092825,0.00092825
28,1444.39,0.72614,0.66652,1.10964,0.86035,0.73563,0.82941,0.66151,0.76517,0.71489,1.13252,0.000915875,0.000915875,0.000915875
29,1495.88,0.71972,0.66235,1.10128,0.84408,0.75479,0.83244,0.66275,0.76318,0.69448,1.12774,0.0009035,0.0009035,0.0009035
30,1547.5,0.70573,0.64272,1.09134,0.8312,0.7168,0.8062,0.65553,0.73159,0.72067,1.10796,0.000891125,0.000891125,0.000891125
31,1598.98,0.69959,0.65047,1.0913,0.88398,0.72821,0.8337,0.67421,0.74671,0.68578,1.11931,0.00087875,0.00087875,0.00087875
32,1650.44,0.70254,0.63921,1.08284,0.84845,0.76737,0.84986,0.68118,0.72213,0.65119,1.09543,0.000866375,0.000866375,0.000866375
33,1701.85,0.69327,0.62411,1.0874,0.82101,0.76041,0.82978,0.67372,0.72189,0.69154,1.09535,0.000854,0.000854,0.000854
34,1753.25,0.70218,0.62672,1.09195,0.84056,0.76946,0.84652,0.68327,0.73936,0.65802,1.11455,0.000841625,0.000841625,0.000841625
35,1804.74,0.68115,0.61113,1.08023,0.85912,0.74843,0.83102,0.67933,0.72282,0.6787,1.09554,0.00082925,0.00082925,0.00082925
36,1856.09,0.67365,0.59145,1.07387,0.86157,0.77665,0.85775,0.69042,0.72845,0.6187,1.10033,0.000816875,0.000816875,0.000816875
